allergen_id,product_id
6,96
14,97
6,97
6,98
6,99
6,100
6,101
14,102
6,102
6,103
6,104
6,105
6,106
6,107
6,109
6,110
6,111
6,112
6,113
6,114
6,115
6,116
6,117
6,118
6,119
6,120
6,121
6,122
6,123
6,124
6,125
6,126
6,127
6,128
6,129
6,130
6,131
6,132
6,133
6,134
6,135
6,136
14,137
6,137
6,138
6,139
6,140
6,141
6,142
6,143
6,144
6,145
6,146
6,147
6,148
6,149
6,150
6,151
14,153
6,153
6,154
6,155
6,156
6,157
6,158
6,159
14,160
6,160
6,161
6,162
6,163
6,164
6,165
6,166
6,167
6,168
6,169
6,170
